HCPCS,MOD,DESCRIPTION,STATUS CODE,WORK RVU,NON-FAC PE RVU,FACILITY PE RVU,MP RVU,NON-FAC TOTAL,FACILITY TOTAL,PCTC IND,GLOB DAYS,MULT PROC,BILAT SURG,ASST SURG,CO-SURG,TEAM SURG,CONV FACTOR
31622,,Diagnostic fiberoptic bronchoscopy,A,3.50,31.75,4.22,0.28,35.53,8.00,0,000,2,0,0,0,0,32.35
31623,,Bronchoscopy; with brushing,A,4.02,32.69,4.74,0.31,37.02,9.07,0,000,2,0,0,0,0,32.35
31624,,Bronchoscopy; with BAL,A,4.02,32.82,4.87,0.32,37.16,9.21,0,000,2,0,0,0,0,32.35
31625,,Bronchoscopy; with biopsy(s),A,4.39,33.26,5.24,0.35,38.00,9.98,0,000,2,0,0,0,0,32.35
31626,,Bronchoscopy; with TBNA,A,4.75,33.70,5.60,0.38,38.83,10.73,0,000,2,0,0,0,0,32.35
31627,,Generated Description,A,3.5,5.8,5.8,0.3,9.6,9.6,0,000,2,0,0,0,0,32.35
31628,,Bronchoscopy; with transbronchial lung bx,A,5.03,34.01,5.88,0.40,39.44,11.31,0,000,2,0,0,0,0,32.35
31629,,Bronchoscopy; with TBNA of mediastinal nodes,A,5.75,34.94,6.60,0.46,41.15,12.81,0,000,2,0,0,0,0,32.35
31630,,Bronchoscopy; with tracheal/bronchial dilation,A,4.89,33.84,5.74,0.39,39.12,11.02,0,000,2,0,0,0,0,32.35
31631,,Bronchoscopy; with placement of tracheal stent,A,9.00,38.83,10.23,0.72,48.55,19.95,0,000,2,0,1,2,0,32.35
31632,,Bronchoscopy; with transbronchial lung biopsy,A,5.15,34.15,6.00,0.41,39.71,11.56,0,000,2,0,0,0,0,32.35
31633,,Bronchoscopy; with transbronchial needle aspiration biopsy,A,5.75,34.94,6.60,0.46,41.15,12.81,0,000,2,0,0,0,0,32.35
31634,,Bronchoscopy; with balloon occlusion,A,6.50,35.80,7.35,0.52,42.82,14.37,0,000,2,0,1,2,0,32.35
